year,M,F,total
1880,118399,97606,216005
1881,108279,98855,207134
1882,122031,115694,237725
1883,112475,120060,232535
1884,122738,137585,260323
1885,115945,141947,257892
1886,119041,153734,272775
1887,109311,155423,264734
1888,129906,189445,319351
1889,119032,189218,308250
1890,119700,201662,321362
1891,109265,196565,305830
1892,131452,224913,356365
1893,121041,225232,346273
1894,124892,235972,360864
1895,126642,247106,373748
1896,129070,251993,381063
1897,121942,248275,370217
1898,132100,274146,406246
1899,115193,247490,362683
1900,162125,317739,479864
1901,115592,254229,369821
1902,132749,280330,413079
1903,129322,278196,407518
1904,138503,292435,430938
1905,143233,309864,453097
1906,144066,313434,457500
1907,158584,337434,496018
1908,166368,354531,520899
1909,176863,368094,544957
1910,208517,419526,628043
1911,241396,441818,683214
1912,451455,586715,1038170
1913,536247,654914,1191161
1914,683321,796627,1479948
1915,880925,1023862,1904787
1916,923243,1085717,2008960
1917,959311,1123690,2083001
1918,1048652,1202353,2251005
1919,1015328,1174640,2189968
1920,1100787,1244035,2344822
1921,1137931,1279719,2417650
1922,1125196,1247574,2372770
1923,1132284,1252465,2384749
1924,1169038,1295675,2464713
1925,1151433,1263083,2414516
1926,1145444,1230173,2375617
1927,1161920,1236428,2398348
1928,1141152,1195530,2336682
1929,1107623,1157553,2265176
1930,1129505,1166452,2295957
1931,1069755,1103721,2173476
1932,1074417,1106288,2180705
1933,1020176,1046028,2066204
1934,1061909,1082331,2144240
1935,1069555,1086755,2156310
1936,1064289,1077533,2141822
1937,1093642,1101846,2195488
1938,1136473,1141455,2277928
1939,1133287,1134065,2267352
1940,1186146,1181333,2367479
1941,1254828,1245984,2500812
1942,1408270,1390478,2798748
1943,1454599,1435364,2889963
1944,1389127,1366508,2755635
1945,1371438,1346109,2717547
1946,1650356,1612907,3263263
1947,1857546,1817861,3675407
1948,1782741,1742661,3525402
1949,1801978,1755519,3557497
1950,1818854,1758517,3577371
1951,1911703,1847290,3758993
1952,1973310,1901995,3875305
1953,2002244,1929481,3931725
1954,2069132,1990880,4060012
1955,2090320,2004888,4095208
1956,2146232,2059576,4205808
1957,2189235,2098257,4287492
1958,2153692,2065457,4219149
1959,2166550,2078537,4245087
1960,2165553,2079906,4245459
1961,2156300,2076787,4233087
1962,2101859,2026948,4128807
1963,2064873,1988090,4052963
1964,2027134,1957369,3984503
1965,1894769,1827443,3722212
1966,1817739,1755732,3573471
1967,1779548,1716835,3496383
1968,1775650,1709671,3485321
1969,1829426,1762759,3592185
1970,1905089,1831878,3736967
1971,1818092,1752565,3570657
1972,1674317,1612568,3286885
1973,1613887,1554124,3168011
1974,1630448,1566256,3196704
1975,1622734,1560900,3183634
1976,1632869,1571931,3204800
1977,1709610,1645038,3354648
1978,1708916,1643932,3352848
1979,1791599,1723343,3514942
1980,1855065,1780679,3635744
1981,1862606,1788529,3651135
1982,1887384,1814307,3701691
1983,1863748,1789652,3653400
1984,1876804,1803286,3680090
1985,1924443,1846298,3770741
1986,1921690,1845474,3767164
1987,1950199,1874175,3824374
1988,2002202,1923057,3925259
1989,2095978,1992164,4088142
1990,2151934,2054356,4206290
1991,2119610,2033387,4152997
1992,2099089,2004628,4103717
1993,2065404,1971476,4036880
1994,2038287,1949318,3987605
1995,2011290,1921498,3932788
1996,2003648,1917180,3920828
1997,1997737,1909184,3906921
1998,2027577,1938457,3966034
1999,2038934,1946732,3985666
2000,2088235,1995651,4083886
2001,2068324,1980832,4049156
2002,2066468,1974855,4041323
2003,2101026,2006315,4107341
2004,2113203,2017674,4130877
2005,2127131,2029377,4156508
2006,2192113,2090245,4282358
2007,2214774,2116187,4330961
2008,2180083,2082515,4262598
2009,2120579,2024712,4145291
2010,2054055,1960275,4014330
2011,2030967,1937266,3968233
2012,2028691,1938960,3967651
2013,2020097,1927071,3947168
2014,2048553,1955680,4004233
2015,2043679,1950105,3993784
2016,2024751,1935017,3959768
2017,1978015,1888197,3866212
2018,1942474,1858402,3800876
2019,1920128,1833330,3753458
2020,1847516,1765764,3613280
2021,1870906,1788994,3659900
2022,1863582,1784437,3648019